id,name
164,360 Propiedades
51,Adrian Slater
83,Agave Industrial
106,Alfaro y Asoc
39,Alpha
84,America Realty
197,Antonio Larrey
32,AR Inmuebles
121,Araico
85,AS
176,Assad Industrial
116,AVC
75,Avison
56,Avista Real Estate
136,BEPS
119,Binswanger
77,BIPC
101,Blau Lan Real Estate
65,BLI
161,Blue Stone
10,B-N
63,Brian Cook
78,Broker Independiente
137,Bryan Cook
157,Cadena y Asoc
47,CBP
2,CBRE
158,Centrury 21
4,Citius AG
135,Citua
188,Claudio Luna
57,CMI Group
118,Co Production
38,Coldwell Banker
11,Colliers
46,Consultor Cantu
160,Cooinsa
127,Corea
150,CPI Solutions
184,CREA
82,Cuahutemoc Inmobiliaria
14,Cushman
114,CYS
139,DIGI Access
3,Direct
111,DTZ
145,Duo Realty
24,Eduardo Castellanos
95,Eduardo Macias
167,EG Evolucion Global
131,Elba Monraz
18,Estate Capital
73,Esteban Puente
153,EZ Landing
29,FIMS
126,France
183,Galdustry
195,Genera Softlanding
174,Germany
165,Gilberto Olvera
13,G-Industrial
41,Global Services
185,Grupo Cobi
102,Grupo Guia
110,Hermes
173,Hiperia
169,Hugo Vela
138,Ikasi
180,Incity
163,Incorp
191,Indbauten
120,Independiente
147,Indoor BR
87,Industrial Realtor
96,Inoga Real Estate
103,Inmobiliaria Paniagua
94,Inmuebles 7
172,Inmuebles Mexicanos
60,Investerum
20,Iron Real Estate
125,Japan
129,JC Consultores
45,JLL
53,Jone Galacidas
144,Jorge Bermudez
67,Jose Aguilar
98,Jose Quiroz
141,Juanita Palacios
99,Karl  Binderberger
152,Kronoz
54,KS Bienes Raices
88,KW
159,Lemuar
198,Loinz
42,Makros
97,Maquila Properties
16,Marcelo Guerra
178,Mare Capital
31,Marel
142,Maricela Valencia
108,Market Analysis
179,Metroplos
123,Mexico
44,MGM
79,MILT
35,MLT
27,NAI Mexico
61,Newmark
148,NGKN
58,NGPS
182,Norte Real Estate
64,Nova Realty
36,Novex
200,Olivier Demars
89,Oliver Rodriguez
146,Omar Cruz
49,Omega
104,Optima 
143,Penelope Ruiz
134,Plasa
7,Prodensa
149,Propiedad 360
22,RACO
132,Rafael Ibarra
90,Raul Garza
130,Realty World
33,REGS
59,Remax
55,Roberto Duran
151,Robertson
117,Rose Lin
133,Ruga
28,Sandro Lee
112,Savills
100,SEA y Asoc
192,Select - RS
196,Servicios Inmobiliaros HC
71,Site Selection
156,SKL Global
199,Spot2
177,Tauro
181,TBQ
69,Team Nafta
40,Top Gun
140,Trasciende
124,USA
154,Ventus 
21,Veronica Contreras
166,Via Inmuebles
107,Viansamp
70,Villanueva
52,Weber Wood Medinger
91,Yolanda Montes
175,Zonork
