"id","name"
"6174","Hermosillo y Asoc"
"6179","Walbridge"
"6180","Garza Ponce"
"6183","Maiz Mier"
"6186","Finsa"
"6188","Vynmsa"
"6191","Dongkwang Construction"
"6192","Mencorsa"
"6194","Coexsa"
"6197","Davisa"
"6204","User Owned"
"6205","Copachisa"
"6207","Hazama"
"6211","Fujita"
"6214","Nexxus"
"6215","Inmobiliaria Cumbres"
"6216","Kalos"
"6218","Lintel"
"6219","Oradel"
"6220","El Marques"
"6224","Frisa"
"6227","Sisa"
"6229","Server"
"6232","Abitat"
"6233","Iamsa"
"6235","WTC"
"6236","Amistad"
"6238","Stiva"
"6239","GRSJ"
"6247","Ayusa"
"6249","Arenko"
"6251","Tres Naciones"
"6253","Avante"
"6254","Roca Desarrollos"
"6256","Fargos"
"6258","Prudential"
"6263","GC Peasa"
"6267","CMC"
"6269","American Industries"
"6271","Suntak"
"6272","Alianza"
"6273","Tierra y Armonia"
"6274","El Florido"
"6275","Florido"
"6276","Chufani"
"6278","Marabis"
"6282","GTN"
"6283","Kajima Grico"
"6284","Omolap"
"6289","Nuevo Santander"
"6293","Prologis"
"6294","Argos"
"6297","GTDE"
"6298","Apolo"
"6299","Electro Ramsa"
"6303","Danhil"
"6306","Bilden"
"6308","Pirsa"
"6311","Atecno"
"6312","Smeke"
"6321","Macquarie"
"6323","Contructora Kirin"
"6329","Ecsor"
"6330","Bravos"
"6332","Cactus"
"6334","AS Construcciones"
"6337","Advance"
"6338","Grupo Cys"
"6339","Begasa"
"6340","Vesta"
"6342","Gama"
"6344","Chiyuda Integre"
"6354","MGA construccion"
"6358","GYA"
"6359","Interurban"
"6363","Shimz"
"6369","Arving Sango"
"6376","Insur"
"6377","Adhoc"
"6384","Esnovi"
"6388","General Contractor"
"6390","Tinsa"
"6391","Aktia"
"6399","Grupo Sara"
"6403","Ecsar"
"6410","GIA"
"6417","Tensa"
"6418","N/a"
"6420","Global Engineering"
"6429","Grupo Begasa"
"6430","Atisa"
"6431","Cubic 33"
"6441","Seica"
"6442","Avia"
"6444","TAEIN"
"6445","CYS"
"6453","Shimizu"
"6458","TYA"
"6459","Tennsa"
"6460","Taurus"
"6463","SIDEE"
"6467","Roca Desarrollo"
"6468","Niram"
"6470","Ciesa"
"6473","Pecsa"
"6474","JV"
"6483","Rochester"
"6484","Cadena"
"6485","Nelson"
"6486","Savy"
"6487","PDN"
"6488","N-a"
"6493","Treboti"
"6500","Entercon"
"6501","Salva"
"6502","RMSG"
"6503","Gacsa"
"6511","Lackma"
"6514","Lockma"
"6521","AM Desarrollos"
"6528","N"
"6531","LKW "
"6532","Panorama Industrial"
"6533","Panorama"
"6535","Savy Capital"
"6539","Teknocontrol"
"6543","Grupo Sojo"
"6545","DYH"
"6549","Pulso Inmobiliario Industrial"
"6552","Grupo Paragon"
"6554","Artha Capital"
"6561","Litos"
